_id,sku_id,sku_name,department,category,subcategory,brand,usual_monthly_sales,current_stock,safety_stock,reorder_point,warehouse,lead_time_days,unit,unit_price,currency,is_active
OID00000001,SKU00001,Fresh Farm Beans Family Pack,Fresh Produce,Vegetables,Vegetables,Fresh Farm,2306,3759,679,988,WH-CBE-S01,10,kg,128,INR,False
OID00000002,SKU00002,Fresh Farm Carrot Family Pack,Fresh Produce,Vegetables,Vegetables,Fresh Farm,4439,3707,1644,2893,WH-CHE-S04,4,kg,134,INR,True
OID00000003,SKU00003,Fresh Farm Papaya 250ml,Fresh Produce,Fruits,Fresh Fruits,Fresh Farm,3087,5403,943,1483,WH-CBE-S01,2,kg,234,INR,True
OID00000004,SKU00004,Balaji Mixture 200g,Snacks,Chips,Packaged Snacks,Balaji,6911,5023,1787,2827,WH-CHE-S04,2,packet,292,INR,True
OID00000005,SKU00005,Surf Excel Fabric Conditioner 1kg,Home Care,Cleaning,Household,Surf Excel,1875,3633,732,925,WH-HYD-S03,2,bottle,298,INR,True
OID00000006,SKU00006,Daawat Idli Rice 250ml,Rice & Staples,Rice,Staples,Daawat,5507,4244,2295,2728,WH-BLR-S02,5,kg,224,INR,True
OID00000007,SKU00007,FarmPick Onion 500ml,Fresh Produce,Vegetables,Vegetables,FarmPick,4675,4177,1850,2284,WH-HYD-S03,9,kg,76,INR,True
OID00000008,SKU00008,Fresh Farm Apple 1kg,Fresh Produce,Fruits,Fresh Fruits,Fresh Farm,6894,3077,2158,2806,WH-MUM-S05,6,kg,148,INR,True
OID00000009,SKU00009,Aashirvaad Idli Rice Family Pack,Rice & Staples,Rice,Staples,Aashirvaad,1470,4101,445,1050,WH-MUM-S05,5,kg,236,INR,True
OID00000010,SKU00010,Ariel Dishwash Liquid 1L,Home Care,Cleaning,Household,Ariel,2096,3412,942,1325,WH-CBE-S01,1,bottle,172,INR,True
OID00000011,SKU00011,Milky Mist Cream Family Pack,Dairy,Milk,Fresh Milk,Milky Mist,820,3505,268,1588,WH-HYD-S03,9,packet,41,INR,True
OID00000012,SKU00012,FarmPick Okra 200g,Fresh Produce,Vegetables,Vegetables,FarmPick,6451,4762,1957,3369,WH-HYD-S03,7,kg,60,INR,True
OID00000013,SKU00013,Sprite Tea Powder Family Pack,Beverages,Soft Drinks,Cold Beverages,Sprite,1171,4654,496,1207,WH-MUM-S05,4,bottle,98,INR,True
OID00000014,SKU00014,Aavin Cream 250ml,Dairy,Milk,Fresh Milk,Aavin,2955,5161,1027,1356,WH-HYD-S03,4,packet,89,INR,True
OID00000015,SKU00015,Lizol Floor Cleaner Family Pack,Home Care,Cleaning,Household,Lizol,6295,5541,2185,2426,WH-BLR-S02,3,bottle,546,INR,True
